UniqueID,Phylum,Class,Order,Family,Genus,Species
Alc_Zoo_1,Cnidaria,,,,,Anthozoa larvae
Alc_Zoo_2,Cnidaria,,,,,Planulae larvae
Alc_Zoo_3,Cnidaria,Hydrozoa,,,,Actinula larvae
Alc_Zoo_4,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,
Alc_Zoo_5,Cnidaria,Hydrozoa,Limnomedusae,Geryoniidae,Liriope,
Alc_Zoo_6,Cnidaria,Hydrozoa,Siphonophorae,,,
Alc_Zoo_7,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglaura,
Alc_Zoo_8,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,
Alc_Zoo_9,Cnidaria,Scyphozoa,,,,Ephyra larvae
Alc_Zoo_10,Ctenophora,,,,,Other ctenophores
Alc_Zoo_11,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,
Alc_Zoo_12,Ctenophora,Tentaculata,Cydippida,Cydippidae,Pleurobrachia,
Alc_Zoo_13,Ctenophora,Nuda,Beroida,Beroidae,Beroe,
Alc_Zoo_14,Annelida,,,,,Other annelids
Alc_Zoo_15,Annelida,Polychaeta,,,,Polychaete larvae
Alc_Zoo_16,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,
Alc_Zoo_17,Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria,
Alc_Zoo_18,Platyhelminthes,Trematoda,,,,
Alc_Zoo_19,Nematoda,,,,,Nematode
Alc_Zoo_20,Arthropoda,Branchiopoda,,,,Other branchiopods
Alc_Zoo_21,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,
Alc_Zoo_22,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Podon,
Alc_Zoo_23,Arthropoda,Ostracoda,,,,Other ostracods
Alc_Zoo_24,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia,
Alc_Zoo_25,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,
Alc_Zoo_26,Arthropoda,Copepoda,,,,Copepod egg sac
Alc_Zoo_27,Arthropoda,Copepoda,,,,Copepod nauplii
Alc_Zoo_28,Arthropoda,Copepoda,Calanoida,,,Calanoid copepodite
Alc_Zoo_29,Arthropoda,Copepoda,Calanoida,,,Other calanoids
Alc_Zoo_30,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,
Alc_Zoo_31,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,
Alc_Zoo_32,Arthropoda,Copepoda,Calanoida,Arietellidae,Metacalanus,
Alc_Zoo_33,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,
Alc_Zoo_34,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula,
Alc_Zoo_35,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,
Alc_Zoo_36,Arthropoda,Copepoda,Calanoida,Calanidae,Canthocalanus,
Alc_Zoo_37,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus ,
Alc_Zoo_38,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus,
Alc_Zoo_39,Arthropoda,Copepoda,Calanoida,Calanidae,Cosmocalanus,
Alc_Zoo_40,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,
Alc_Zoo_41,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,
Alc_Zoo_42,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,
Alc_Zoo_43,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,
Alc_Zoo_44,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,
Alc_Zoo_45,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,
Alc_Zoo_46,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,
Alc_Zoo_47,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus,
Alc_Zoo_48,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus,
Alc_Zoo_49,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,
Alc_Zoo_50,Arthropoda,Copepoda,Calanoida,Paracalanidae,Parvocalanus,
